run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,wall,10169897,0
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,client_setup,1201334,0
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,first_send,401149,0
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,send_phase,1070530,108
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,resend_rounds,2,108
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,resent_txs,191,0
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,resend_time,1892607,0
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,confirm_phase,1892692,0
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,write_chunks,3367120,108
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,final_tx,802186,0
0,d100_l1,delay 100ms loss random 1%,baseline,token,108600,success,total_deploy,7373160,108600
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,wall,10088134,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,client_setup,800948,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,first_send,3,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,send_phase,1071332,108
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,resend_rounds,2,108
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,resent_txs,47,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,resend_time,461233,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,confirm_phase,1991866,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,write_chunks,3465650,108
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,quic_sent,155,108
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,final_tx,1703182,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token,108600,success,total_deploy,8874178,108600
1,clean,,baseline,jupiter-v6,2892224,success,wall,20690612,0
1,clean,,baseline,jupiter-v6,2892224,success,client_setup,565,0
1,clean,,baseline,jupiter-v6,2892224,success,first_send,1354,0
1,clean,,baseline,jupiter-v6,2892224,success,send_phase,18652787,1866
1,clean,,baseline,jupiter-v6,2892224,success,resend_rounds,1,96
1,clean,,baseline,jupiter-v6,2892224,success,resent_txs,96,0
1,clean,,baseline,jupiter-v6,2892224,success,resend_time,950865,0
1,clean,,baseline,jupiter-v6,2892224,success,confirm_phase,950930,0
1,clean,,baseline,jupiter-v6,2892224,success,write_chunks,19659351,1866
1,clean,,baseline,jupiter-v6,2892224,success,final_tx,511325,0
1,clean,,baseline,jupiter-v6,2892224,success,total_deploy,20674014,2892224
1,clean,,tpu_next,jupiter-v6,2892224,success,wall,20632218,0
1,clean,,tpu_next,jupiter-v6,2892224,success,client_setup,410,0
1,clean,,tpu_next,jupiter-v6,2892224,success,first_send,5,0
1,clean,,tpu_next,jupiter-v6,2892224,success,send_phase,18651758,1866
1,clean,,tpu_next,jupiter-v6,2892224,success,resend_rounds,1,93
1,clean,,tpu_next,jupiter-v6,2892224,success,resent_txs,93,0
1,clean,,tpu_next,jupiter-v6,2892224,success,resend_time,921541,0
1,clean,,tpu_next,jupiter-v6,2892224,success,confirm_phase,921614,0
1,clean,,tpu_next,jupiter-v6,2892224,success,write_chunks,19601342,1866
1,clean,,tpu_next,jupiter-v6,2892224,success,quic_sent,1958,1866
1,clean,,tpu_next,jupiter-v6,2892224,success,final_tx,510219,0
1,clean,,tpu_next,jupiter-v6,2892224,success,total_deploy,20616991,2892224
1,clean,,baseline,token-2022,1382016,success,wall,7432577,0
1,clean,,baseline,token-2022,1382016,success,client_setup,643,0
1,clean,,baseline,token-2022,1382016,success,first_send,823,0
1,clean,,baseline,token-2022,1382016,success,send_phase,5001212,501
1,clean,,baseline,token-2022,1382016,success,resend_rounds,1,140
1,clean,,baseline,token-2022,1382016,success,resent_txs,140,0
1,clean,,baseline,token-2022,1382016,success,resend_time,1391458,0
1,clean,,baseline,token-2022,1382016,success,confirm_phase,1391539,0
1,clean,,baseline,token-2022,1382016,success,write_chunks,6407908,501
1,clean,,baseline,token-2022,1382016,success,final_tx,505672,0
1,clean,,baseline,token-2022,1382016,success,total_deploy,7419413,1382016
1,clean,,tpu_next,token-2022,1382016,success,wall,7402501,0
1,clean,,tpu_next,token-2022,1382016,success,client_setup,413,0
1,clean,,tpu_next,token-2022,1382016,success,first_send,2,0
1,clean,,tpu_next,token-2022,1382016,success,send_phase,5000846,501
1,clean,,tpu_next,token-2022,1382016,success,resend_rounds,1,138
1,clean,,tpu_next,token-2022,1382016,success,resent_txs,138,0
1,clean,,tpu_next,token-2022,1382016,success,resend_time,1371152,0
1,clean,,tpu_next,token-2022,1382016,success,confirm_phase,1371227,0
1,clean,,tpu_next,token-2022,1382016,success,write_chunks,6379546,501
1,clean,,tpu_next,token-2022,1382016,success,quic_sent,638,501
1,clean,,tpu_next,token-2022,1382016,success,final_tx,505258,0
1,clean,,tpu_next,token-2022,1382016,success,total_deploy,7388867,1382016
1,clean,,baseline,token,108600,success,wall,3207180,0
1,clean,,baseline,token,108600,success,client_setup,618,0
1,clean,,baseline,token,108600,success,first_send,982,0
1,clean,,baseline,token,108600,success,send_phase,1071330,108
